Building,Utility,Unit,Meter no.,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
Building 1,Gas,KWh,Meter 1,25/07/2013,0.77,0.11,0.55,0.22,0,0.77,0,0.88,0,0,0.77,0,0.77,0.11,0.77,0,0,0.77,0,0.77,0.11,0,0.77,0,0,0.77,0,0.77,0,0,0.77,0,0,0.77,0,0.11,0.66,0,0.11,0.66,0,0.11,0.66,0,0,0.66,0.11,0
Building 1,Gas,KWh,Meter 1,26/07/2013,0.66,0,0.11,0.66,0.11,0,0.66,0,0,0.77,0,0.11,0.66,0,0.77,0.11,0.11,0.66,0,0.44,0.33,0,0.77,0,0,0.77,0,0,0.77,0,0,0.66,0.11,0,0.66,0.11,0,0.77,0,0,0.77,0,0.77,0,0,0.77,0,0.77
Building 1,Gas,KWh,Meter 1,27/07/2013,0.11,0,0.77,0,0.77,0,0.88,0,0.55,0.22,0,0.88,0,0.77,0.11,0.77,0,0.77,0,0.55,0.33,0,0.77,0,0.77,0.11,0,0.77,0,0.77,0,0.88,0,0,0.77,0,0.88,0,0.77,0,0.88,0,0,0.77,0.11,0.77,0,0.88
Building 1,Gas,KWh,Meter 1,28/07/2013,0,0.77,0,0,0.88,0,0.77,0,0.88,0,0.77,0.11,0.77,0,0.88,0,0.66,0.11,0,0.88,0,0.77,0.11,0.77,0,0.55,0.33,0,0.77,0,0.77,0.11,0.11,0.66,0,0.77,0.11,0.77,0,0.77,0.11,0,0.77,0,0.88,0,0.77,0
Building 1,Gas,KWh,Meter 1,29/07/2013,0.88,0,0.77,0,0.11,0.77,0,0.88,0,0.77,0,0.77,0.11,0.11,0.66,0,0.77,0.11,0,0.77,0,0,0.77,0,0.55,0.22,0,0.77,0,0,0.77,0.11,0,0.77,0,0.66,0.11,0.11,0.77,0,0.77,0,0.22,0.66,0,0.77,0,0.88
Building 1,Gas,KWh,Meter 1,30/07/2013,0,0.77,0,0.88,0,0.77,0.11,0.33,0.44,0.44,0.44,0.22,0.55,0,0.77,0.11,0.77,0,0.44,0.33,0.11,0.66,0.11,0,0.66,0.11,0,0.66,0.11,0,0.66,0,0.11,0.66,0,0,0.77,0,0,0.77,0,0.44,0.33,0,0.66,0.11,0,0.77
Building 1,Gas,KWh,Meter 1,31/07/2013,0,0,0.77,0,0,0.77,0,0.77,0,0,0.77,0,0.77,0,0,0.77,0.11,0.66,0,0.11,0.66,0,0.11,0.66,0,0,0.66,0.11,0,0.22,0.44,0.11,0.66,0,0.11,0.66,0,0.88,0,0,0.77,0,0.77,0.11,0.77,0,0.22,0.66
Building 1,Gas,KWh,Meter 1,01/08/2013,0,0.77,0,0.88,0,0.77,0,0.88,0,0.77,0.11,0.77,0,0,0.77,0.11,0.77,0,0,0.77,0,0.77,0,0,0.77,0,0.66,0,0.66,0,0,0.55,0,0.66,0,0,0.55,0,0.55,0.11,0.55,0,0.55,0,0.44,0.11,0.44,0.11
Building 1,Gas,KWh,Meter 1,02/08/2013,0,0.55,0.11,0,0.55,0,0.11,0.66,0,0,0.77,0,0,0.77,0,0.77,0,0.11,0.77,0,0,0.77,0,0.66,0.11,0,0.77,0,0,0.77,0,0,0.77,0,0,0.77,0,0,0.77,0,0.66,0.22,0,0.77,0,0.77,0,0.11
Building 1,Gas,KWh,Meter 1,03/08/2013,0.77,0,0.77,0,0.77,0.11,0,0.77,0,0.88,0,0.77,0,0.88,0,0,0.77,0.11,0.77,0,0.77,0,0.11,0.77,0,0.77,0,0.77,0,0.11,0.77,0,0.77,0,0.77,0,0.11,0.77,0,0.77,0,0.88,0,0,0.77,0,0.88,0
Building 1,Gas,KWh,Meter 1,04/08/2013,0.77,0,0.88,0,0.77,0,0.66,0.22,0.33,0.55,0,0.77,0,0.88,0,0.77,0,0.88,0,0.77,0,0.88,0,0.11,0.66,0,0.88,0,0.77,0,0.88,0,0.77,0,0.88,0,0,0.77,0.11,0.77,0,0.88,0,0.77,0,0.88,0,0.77
Building 1,Gas,KWh,Meter 1,05/08/2013,0.11,0.77,0,0.55,0.33,0.11,0.66,0.11,0.77,0,0.88,0,0.77,0,0.88,0,0.77,0.11,0,0.77,0,0,0.77,0,0.77,0,0,0.77,0,0,0.77,0,0,0.77,0,0.11,0.66,0,0.77,0,0,0.77,0,0,0.77,0,0,0.77
Building 1,Gas,KWh,Meter 1,06/08/2013,0,0.77,0,0.11,0.77,0,0.22,0.55,0,0.77,0,0.44,0.44,0,0.77,0,0.88,0,0.77,0,0,0.77,0.11,0.77,0,0,0.77,0,0,0.77,0,0,0.77,0,0,0.77,0,0,0.77,0,0.77,0,0,0.77,0,0,0.77,0
Building 1,Gas,KWh,Meter 1,07/08/2013,0,0.77,0,0.77,0,0,0.77,0,0.77,0,0,0.77,0,0.88,0,0.77,0,0,0.77,0,0.44,0.33,0,0.77,0,0,0.77,0,0,0.77,0.11,0,0.66,0,0.11,0.66,0,0,0.77,0,0,0.77,0,0,0.77,0,0,0.77
Building 1,Gas,KWh,Meter 1,08/08/2013,0,0.33,0.44,0,0.66,0.11,0,0.77,0,0.33,0.44,0,0.77,0.11,0.77,0,0,0.66,0.11,0,0.77,0,0,0.66,0,0.11,0.66,0,0.55,0.11,0.11,0.44,0,0.77,0,0,0.22,0.44,0.55,0,0,0.55,0.11,0,0.11,0.55,0,0.11
Building 1,Gas,KWh,Meter 1,09/08/2013,0.66,0,0,0.77,0,0,0.66,0.11,0.66,0,0.11,0.66,0,0.11,0.77,0,0.77,0,0,0.77,0,0.11,0.66,0.11,0.66,0.11,0,0.77,0,0,0.77,0,0.77,0,0,0.77,0,0,0.77,0,0,0.77,0,0,0.77,0,0.44,0.33
Building 1,Gas,KWh,Meter 1,10/08/2013,0,0.77,0,0,0.77,0,0.55,0.22,0,0.77,0,0,0.77,0,0.77,0,0,0.77,0,0.77,0,0,0.77,0,0,0.66,0.11,0,0.66,0,0.11,0.66,0,0,0.77,0,0.22,0.55,0,0.66,0.11,0,0.66,0,0.11,0.66,0,0.11
